station_id,name,lat,lon
42037,,24.5,-81.4
42038,North Mid Gulf of America,27.421,-92.555
42039,"PENSACOLA - 115NM SSE of Pensacola, FL",28.768,-86.024
42040,"LUKE OFFSHORE TEST PLATFORM - 63 NM South of Dauphin Island, AL",29.207,-88.237
42041,"North Mid Gulf 110NM South of Grand Isle, LA",27.504,-90.462
42042,Pascagoula,29.88,-88.32
42043,TGLO TABS Buoy B,28.982,-94.899
42044,TGLO TABS Buoy J,26.191,-97.051
42045,TGLO TABS Buoy K,26.217,-96.5
42046,GERG Flower Gardens Buoy N,27.89,-94.037
42047,GERG Flower Gardens Buoy V,27.897,-93.597
42048,TABS D,27.939,-96.843
42049,TABS W,28.351,-96.006
42050,TABS F,28.842,-94.242
42051,TABS R,29.635,-93.642
42053,Pascagoula South,29.55,-88.5
42054,East Gulf,26.0,-87.73
42055,"BAY OF CAMPECHE - 214 NM NE of Veracruz, MX",22.14,-94.112
42056,"Yucatan Basin - 120 NM ESE of Cozumel, MX",19.82,-84.98
42057,"Western Caribbean - 195 NM WSW of Negril, Jamaica",16.975,-81.578
42058,"Central Caribbean - 210 NM SSE of Kingston, Jamaica",14.114,-75.949
42059,"Eastern Caribbean Sea - 180 NM SSW of Ponce, PR",15.255,-67.621
42060,Caribbean Valley - 63 NM WSW of Montserrat,16.428,-63.21
42065,Near 42058 Central Caribbean,14.926,-75.046
42066,USM-R2,30.216,-89.183
42067,USM-R1,30.05,-88.583
42078,"Big Pine Key, FL (237)",24.5,-81.251
42079,"Bahia Honda Key, FL (242)",24.535,-81.242
42080,"Offshore Sand Key, FL",24.396,-81.934
42084,"Southwest Pass Entrance W, LA (256)",28.988,-89.649
42085,"Southeast of Ponce, PR",17.87,-66.537
42087,"Buccoo Reef, Buccoo Marine Park, TT",11.185,-60.848
42088,"Angel Reef, TT",11.301,-60.521
42089,"Little Cayman Research Center, CYM",19.699,-80.061
42090,"Catuan Wreck, Boca Chica, DR",18.432,-69.58
42091,"Trinity Shoal, LA (255)",29.088,-92.505
42092,"Aransas Pass Channel Entrance S, TX (252)",27.639,-97.012
42093,"Grand Isle Outer, LA (247)",29.017,-89.832
42094,"Grand Isle, LA (246)",29.085,-89.907
42095,"Satan Shoal, FL (244)",24.407,-81.968
42097,"Pulley Ridge, FL (226)",25.704,-83.654
42098,"Egmont Channel Entrance, FL (214)",27.59,-82.931
42099,"Offshore St. Petersburg, FL (144)",27.352,-84.275
42354,"Chandeleur Island SE, LA (279)",29.579,-88.643
42357,DISL Sofar Spotter,30.092,-88.212
42358,FGBNMS Sofar Spotter,27.874,-93.815
42407,"SOUTH PUERTO RICO - 230 NM Southwest of San Juan, PR",15.276,-68.191
42408,"EAST GULF of AMERICA - 225NM WNW of Loggerhead Key, FL",25.2,-87.0
42409,"GULF OF AMERICA - 247 NM South of New Orleans, LA",25.797,-89.288
42429,DART WAVE GLIDER STATION,27.401,-85.671
42430,DART Test Station,27.0,-86.0
42501,"SD 1042 - 180 nm South of Southwest Pass, LA (Site of 42001)",25.942,-89.657
42503,"SD 1036 - 208 NM West of Naples, FL (Site of 42003)",25.925,-85.615
42534,Moored Drifter,29.643,-93.839
42d09,Adrift buoy from 42409,25.911,-89.264
42x60,Caribbean Valley - 63 NM WSW of Montserrat,16.406,-63.188
43010,Woods Hole Spurs Wave Station,10.051,-125.032
43412,"SOUTHWEST MANZANILLO - 240 NM SW of Manzanillo, MX",16.02,-107.0
43413,"SOUTH ACAPULCO - 360NM South of Acapulco, MX",10.927,-100.012
44001,,38.7,-73.6
44003,,40.8,-68.5
44004,"HOTEL 200NM East of Cape May,NJ",38.484,-70.433
44005,"GULF OF MAINE - 78 NM East of Portsmouth, NH",43.201,-69.127
44006,,36.3,-75.4
44007,"PORTLAND - 12 NM Southeast of Portland,ME",43.525,-70.14
44008,NANTUCKET 54 NM Southeast of Nantucket,40.5,-69.254
44009,"DELAWARE BAY 26 NM Southeast of Cape May, NJ",38.46,-74.692
44010,,36.9,-75.7
44011,"GEORGES BANK 170 NM East of Hyannis, MA",41.088,-66.546
44012,,38.8,-74.6
44013,"BOSTON 16 NM East of Boston, MA",42.346,-70.651
44014,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",36.603,-74.837
44015,,37.5,-73.4
44017,"MONTAUK POINT - 23 NM SSW of Montauk Point, NY",40.693,-72.049
44018,"CAPE COD - 9 NM North of Provincetown, MA",42.203,-70.154
44019,,36.4,-75.2
44020,NANTUCKET SOUND,41.497,-70.283
44021,Buoy D - New Meadows River,43.762,-69.988
44022,Execution Rocks,40.883,-73.728
44023,,37.5,-74.4
44024,Buoy N01 - Northeast Channel,42.325,-65.909
44025,"LONG ISLAND - 30 NM South of Islip, NY",40.258,-73.175
44026,,36.0,-73.5
44027,"Jonesport, ME - 20 NM SE of Jonesport, ME",44.284,-67.301
44028,Buzzard's Bay,41.4,-71.08
44029,Buoy A01 - Massachusetts Bay,42.523,-70.566
44030,Buoy B01 - Western Maine Shelf,43.179,-70.426
44031,Buoy C0201 - Casco Bay,43.57,-70.06
44032,Buoy E01 - Central Maine Shelf,43.715,-69.355
44033,Buoy F01 - Penobscot Bay,44.055,-68.996
44034,Buoy I01 - Eastern Maine Shelf,44.103,-68.112
44035,Buoy J0201 - Cobscook Bay,44.89,-67.02
4403585,Walnut Creek Buoy,42.132,-80.27
4403586,Buffalo Buoy,42.847,-78.904
44036,Buoy K0102 - Saint John,45.2,-66.02
44037,Buoy M01 - Jordan Basin,43.497,-67.876
44038,Buoy L0102 - Scotian Shelf,43.633,-66.55
44039,Central Long Island Sound,41.138,-72.655
44040,Western Long Island Sound,40.956,-73.58
44041,"Jamestown, VA",37.211,-76.787
44042,"Potomac, MD",38.033,-76.335
44043,"Patapsco, MD",39.152,-76.391
44044,Patuxent River Buoy,38.389,-76.526
44052,Goodwin Islands,37.236,-76.399
44053,Gloucester Point,37.244,-76.5
44054,Lower Delaware Bay Buoy,38.883,-75.183
44055,Central Delaware Bay,39.122,-75.256
44056,"Duck FRF, NC",36.2,-75.714
44057,"Susquehanna, MD",39.54,-76.074
44058,"Stingray Point, VA",37.567,-76.257
44059,"Norfolk, VA",36.846,-76.298
44060,Eastern Long Island Sound,41.263,-72.067
44061,"Upper Potomac, MD",38.788,-77.036
44062,"Gooses Reef, MD",38.556,-76.415
44063,"Annapolis, MD",38.963,-76.448
44064,"First Landing, VA",36.998,-76.087
44065,"New York Harbor Entrance - 15 NM SE of Breezy Point , NY",40.368,-73.701
44066,"Texas Tower #4 - 75 NM East of Long Beach, NJ",39.618,-72.644
44067,"Potomac River, Near HWY 301",38.368,-76.996
44068,VCU Rice Rivers Center,37.314,-77.191
44069,Great South Bay,40.699,-73.087
44070,Buzzards Bay MA. Offshore,41.392,-71.004
44071,Chesapeake Light Va.,36.906,-75.691
44072,"York Spit, VA",37.201,-76.266
44073,CO2 Gulf of Maine Buoy,43.02,-70.54
44074,Great Bay Buoy,43.071,-70.868
44075,OOI Pioneer Inshore Surface Mooring,40.363,-70.883
44076,OOI Pioneer Central Surface Mooring,40.137,-70.775
44077,OOI Pioneer Offshore Surface Mooring,39.94,-70.883
44078,OOI Irminger Sea Surface Mooring,59.94,-39.52
44079,OOI Pioneer - Mid-Atlantic Bight Northern Surface Mooring,36.175,-74.827
44080,Baltimore,39.223,-76.528
44084,"Bethany Beach, DE (263)",38.537,-75.044
44085,"Buzzards Bay, MA (260)",41.387,-71.032
44086,"Nags Head, NC (243)",36.001,-75.421
44087,"Thimble Shoal, VA (240)",37.043,-76.129
44088,"Virginia Beach Offshore, VA (171)",36.612,-74.839
44089,"Wallops Island, VA (224)",37.756,-75.325
44090,"Cape Cod Bay, MA (221)",41.84,-70.329
44091,"Barnegat, NJ (209)",39.772,-73.769
44092,"Isle of Shoals, NH (211)",42.942,-70.632
44093,"Offshore Wind Energy Area, VA (210)",36.872,-75.492
44094,"Fire Island Nearshore, NY (207)",40.585,-73.106
44095,"Oregon Inlet, NC (192)",35.75,-75.33
44096,"Cape Charles, VA (186)",37.023,-75.809
44097,"Block Island, RI  (154)",40.967,-71.124
44098,"Jeffrey's Ledge, NH (160)",42.8,-70.169
44099,"Cape Henry, VA (147)",36.915,-75.722
44100,"Duck FRF 26m, NC (430)",36.257,-75.593
44137,East Scotia Slope,42.26,-62.03
44138,SW Grand Banks,44.25,-53.63
44139,Banqureau Banks,44.24,-57.1
44140,Tail of the Bank,42.87,-51.47
44141,Laurentian Fan,42.99,-57.96
44142,La Have Bank,42.5,-64.033
44150,La Have Bank,42.5,-64.02
44172,"Halifax Harbor, NS, Canada - 176",44.5,-63.408
44174,Anticosti,49.075,-60.822
44175,iles de la Madeleine,46.877,-62.0
44176,Point Escuminac,47.535,-64.527
44235,"South Ramea Island, Newfoundland (170)",47.263,-57.341
44251,Nickerson Bank,46.44,-53.39
44255,NE Burgeo Bank,47.27,-57.34
44258,Halifax Harbour,44.5,-63.4
44401,"NORTHEAST CASTLE ROCK SEAMOUNT - 620NM South of St John's Newfoundland, CN",37.592,-50.03
44402,"SOUTHEAST BLOCK CANYON - 130 NM SE of Fire Island, NY",39.314,-70.717
44403,"SABLE ISLAND BANK - 437 NM E of Boston, MA",41.928,-61.664
44488,East of Chedabucto Bay,45.44,-60.95
44489,West Chedabucto Bay,45.49,-61.14
44490,West Bay of Fundy,44.66,-66.37
44585,Drifting Buoy,43.354,-67.635
44t14,"VIRGINIA BEACH 64 NM East of Virginia Beach, VA",36.611,-74.847
45001,"MID SUPERIOR- 60 NM North Northeast Hancock, MI",48.061,-87.793
45002,NORTH MICHIGAN- Halfway between North Manitou and Washington Islands.,45.344,-86.411
45003,"NORTH HURON - 32NM Northeast of Alpena, MI",45.351,-82.84
45004,"EAST SUPERIOR -70 NM NE Marquette, MI",47.583,-86.586
45005,"WEST ERIE - 16 NM NW of Lorain, OH",41.677,-82.398
45006,"WEST SUPERIOR - 30NM NE of Outer Island, WI",47.335,-89.793
45007,"SOUTH MICHIGAN - 43NM East Southeast of Milwaukee, WI",42.674,-87.026
45008,"SOUTH HURON - 43NM East of Oscoda, MI",44.283,-82.416
45009,,41.6,-82.0
45010,,43.0,-87.8
45011,Grand Haven Michigan,43.02,-86.27
45012,"EAST Lake Ontario  - 20NM North Northeast of Rochester, NY",43.621,-77.401
45013,"ATW20 - Atwater Park, WI",43.098,-87.85
45014,"GB17 - South Green Bay, WI",44.794,-87.758
45015,"Calumet Beach, Chicago, IL",41.714,-87.527
45016,"Sixth-third St. Beach, Chicago, IL",41.783,-87.573
45017,"Oak St. Beach, Chicago, IL",41.903,-87.622
45018,"Montrose Ave. Beach, Chicago, IL",41.968,-87.637
45019,"Foster Ave. Beach, Chicago, IL",41.979,-87.649
